list_name,name,label,link_group,link_maingroup,usercountry,curr_sdate,curr_fdate,curr_detail_link,,,,,,,,,,,
hazardsubsubtypes,MH0036,Hail,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0037,Ice Storm,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0038,Snow,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0039,Snow Storm,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0040,Cold Wave,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0041,Dzud,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0042,Freeze,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0043,Frost (Hoar Frost),hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0044,Freezing Rain (Supercooled Rain),hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0045,Glaze,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0046,Ground Frost,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0047,Heatwave,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0048,Icing (including Ice),hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0049,Thaw,hazhmtemp,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0050,Avalanche,hazhmterr,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0051,Mud Flow,hazhmterr,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0052,Rock Slide,hazhmterr,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0053,Derecho,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0054,Gale (Strong Gale),hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0055,Squall,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0056,Subtropical Storm,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0057,"Tropical Cyclone (Cyclonic Wind, Rain [Storm] surge)",hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0058,Tropical Storm,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0099,Extra-tropical Storm,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0059,Tornado,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0060,Wind,hazhmwind,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0001,Airburst,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0002,"Geomagnetic Storm (including energetic particles related to space weather, and solar flare radio blackout [R Scale])",hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0003,UV Radiation,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0004,Meteorite Impact,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0005,Ionospheric Storms,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0006,Radio Blackout,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0007,Solar Storm (Solar Radiation Storm) (S Scale),hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0008,Space Hazard / Accident,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,ET0009,Near-Earth Object,hazetextraterr,haztypeextraterr,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0001,Earthquake,hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0002,Ground Shaking (Earthquake),hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0003,Liquefaction (Earthquake Trigger),hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0004,"Earthquake Surface Rupture, Fissures, and Tectonic Uplift/Subsidence",hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0005,"Subsidence and Uplift, Including Shoreline Change (Earthquake Trigger)",hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0006,Tsunami (Earthquake Trigger),hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0007,Landslide or Debris Flow (Earthquake Trigger),hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0008,Ground Gases (Seismogenic),hazgeoseis,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0009,Lava Flows (Lava Domes),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0010,Ash/Tephra Fall (Physical and Chemical),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0011,Ballistics (Volcanic),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0012,Pyroclastic Density Current,hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0013,Debris Flow/Lahars/Floods,hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0014,Landslide (Volcanic Trigger),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0015,Ground Shaking (Volcanic Earthquake),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0016,Volcanic Gases and Aerosols,hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0017,Tsunami (Volcanic Trigger),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0018,Lightning (Volcanic Trigger),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0019,Urban Fire (During/Following Volcanic Eruption),hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0020,"Subsidence and Uplift, Including Shoreline Change (Magmatic/Volcanic Trigger)",hazgeovolc,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0021,"Ground Shaking (induced earthquake, reservoir fill, dams, cavity collapse, underground explosion, impact, hydrocarbon fields, shale exploration, etc.)",hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0022,Liquefaction (Groundwater Trigger),hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0023,Ground Fissuring,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0024,Subsidence and Uplift Including Shoreline Change,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0025,Shrink-Swell Subsidence,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0026,Sinkhole,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0027,"Ground Gases (CH4, Rn, etc.)",hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0028,Riverbank Erosion,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0029,Sand Encroachment,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0030,Aquifer Recharge (Systems Failure/ Outages),hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0031,Submarine Landslide,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0032,Rockfall,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0033,Landscape Creep,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0034,Sediment Rock Avalanche,hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,GH0035,Tsunami (Submarine Landslide Trigger),hazgeoother,haztypegeohaz,,,,,,,,,,,,,,,
hazardsubsubtypes,EN0001,Household Air Pollution,hazenvenvdeg,haztypeenviron,,,,,,,,,,,,,,,
